customer_id,tenure_months,contract_type,plan_type,monthly_charges,total_charges,payment_method,payment_delay_days,data_usage_gb,has_streaming_addon,num_support_tickets,last_login_days_ago,clv_estimated,churned
C-00025,10,Month-to-month,Premium,94.6,946.0,Electronic check,2,18.58,1,0,0,1779.13,0
C-00026,25,One-year,Standard,57.91,1447.75,Credit card,0,13.71,1,0,0,2252.52,0
C-00027,16,Month-to-month,Basic,21.93,350.88,Mailed check,15,0.3,0,2,24,18.59,1
C-00028,29,One-year,Basic,34.88,1011.52,Mailed check,1,2.31,0,0,3,1404.75,0
C-00029,19,One-year,Standard,47.73,906.87,Electronic check,0,9.25,1,0,5,1823.65,0
C-00030,20,Month-to-month,Basic,28.1,562.0,Electronic check,13,0.26,0,3,44,86.24,1
C-00031,5,One-year,Basic,36.09,180.45,Credit card,4,2.0,0,1,11,736.09,0
C-00032,5,Month-to-month,Standard,56.69,283.45,Mailed check,14,25.99,0,2,3,1610.46,0
C-00033,7,Month-to-month,Standard,66.05,462.35,Mailed check,17,12.97,1,1,2,443.26,0
C-00034,55,Two-year,Standard,53.55,2945.25,Mailed check,9,17.38,1,0,5,1899.91,0
C-00035,50,Two-year,Basic,39.15,1957.5,Electronic check,13,1.27,0,1,7,1948.96,0
C-00036,31,Two-year,Basic,24.19,749.89,Credit card,1,3.48,0,0,5,1069.74,0
C-00037,5,Month-to-month,Standard,45.96,229.8,Mailed check,44,3.72,0,0,53,42.62,1
C-00038,4,Month-to-month,Premium,114.26,457.04,Credit card,2,5.56,1,2,21,444.57,1
C-00039,26,One-year,Standard,63.81,1659.06,Bank transfer,3,1.95,1,0,13,40.99,1
C-00040,6,Month-to-month,Premium,85.44,512.64,Credit card,2,18.98,1,0,3,647.93,0
C-00041,20,Month-to-month,Standard,69.62,1392.4,Mailed check,8,0.69,1,0,116,157.38,1
C-00042,14,Month-to-month,Standard,57.56,805.84,Credit card,2,9.76,0,3,1,1017.3,0
C-00043,1,Month-to-month,Basic,39.02,39.02,Credit card,8,1.25,0,3,38,32.39,1
C-00044,41,Two-year,Standard,57.63,2362.83,Bank transfer,3,2.69,0,2,62,215.75,1
C-00045,13,Month-to-month,Standard,56.8,738.4,Electronic check,1,4.44,1,1,39,118.3,1
C-00046,31,One-year,Standard,56.23,1743.13,Bank transfer,0,7.4,0,0,1,1430.91,0
C-00047,1,Month-to-month,Standard,53.37,53.37,Credit card,0,39.64,1,0,2,960.41,0
C-00048,14,One-year,Standard,58.34,816.76,Credit card,0,4.44,1,1,2,1016.09,0
C-00049,29,One-year,Basic,29.05,842.45,Electronic check,1,3.12,0,1,2,1124.37,0
C-00050,5,Month-to-month,Standard,45.92,229.6,Mailed check,19,2.75,1,0,11,101.42,1
C-00051,40,Two-year,Basic,25.21,1008.4,Electronic check,3,1.31,0,0,6,1147.47,0
C-00052,21,One-year,Premium,84.59,1776.39,Bank transfer,2,11.22,0,5,106,169.08,1
C-00053,44,Two-year,Basic,37.35,1643.4,Mailed check,6,1.0,1,0,3,1461.21,0
C-00054,35,Two-year,Basic,31.98,1119.3,Bank transfer,1,1.5,0,0,1,1898.24,0
C-00055,24,One-year,Standard,64.09,1538.16,Bank transfer,0,8.77,1,0,17,1587.68,0
C-00056,38,Two-year,Standard,68.92,2618.96,Bank transfer,2,3.56,1,0,1,2924.9,0
C-00057,1,Month-to-month,Standard,61.1,61.1,Bank transfer,13,3.1,0,3,22,131.92,1
C-00058,29,Month-to-month,Basic,39.65,1149.85,Electronic check,2,1.24,0,1,15,236.52,0
C-00059,27,Month-to-month,Standard,52.79,1425.33,Bank transfer,0,3.78,1,0,15,1124.66,0
C-00060,2,Month-to-month,Basic,23.73,47.46,Credit card,5,0.2,0,1,39,46.92,1
C-00061,9,Month-to-month,Premium,93.15,838.35,Credit card,3,36.6,0,3,19,225.93,1
C-00062,1,Month-to-month,Premium,96.19,96.19,Credit card,2,9.12,1,0,8,1592.09,0
C-00063,42,Two-year,Standard,67.38,2829.96,Bank transfer,1,11.72,0,0,1,2666.8,0
C-00064,1,Month-to-month,Basic,31.2,31.2,Credit card,2,0.72,0,4,29,65.26,1
C-00065,4,Month-to-month,Standard,52.3,209.2,Credit card,14,3.17,0,3,52,146.14,1
C-00066,30,One-year,Basic,34.85,1045.5,Electronic check,0,2.72,0,1,5,890.96,0
C-00067,1,Month-to-month,Standard,57.65,57.65,Electronic check,4,5.77,0,2,43,153.58,1
C-00068,58,Two-year,Basic,23.24,1347.92,Electronic check,1,1.43,1,0,11,1046.15,0
C-00069,6,Month-to-month,Premium,100.96,605.76,Bank transfer,4,1.9,0,4,41,165.04,1
C-00070,31,Two-year,Basic,38.23,1185.13,Mailed check,8,2.75,0,0,1,2173.6,0
C-00071,16,One-year,Standard,66.07,1057.12,Mailed check,4,12.57,1,0,1,2165.22,0
C-00072,2,Month-to-month,Standard,59.67,119.34,Electronic check,8,3.44,1,1,33,53.96,1
C-00073,1,Month-to-month,Standard,54.43,54.43,Bank transfer,4,3.99,0,0,40,100.1,1
C-00074,39,Two-year,Basic,21.74,847.86,Credit card,2,1.61,0,0,9,790.97,0
C-00075,21,One-year,Premium,96.13,2018.73,Mailed check,10,16.22,1,0,9,3289.55,0
C-00076,26,One-year,Standard,63.8,1658.8,Credit card,0,9.05,1,0,6,1449.51,0
C-00077,10,One-year,Standard,54.01,540.1,Credit card,3,12.32,0,0,1,1689.79,0
C-00078,2,Month-to-month,Basic,24.71,49.42,Bank transfer,3,0.78,0,1,74,59.68,1
C-00079,10,Month-to-month,Standard,68.28,682.8,Credit card,0,12.25,1,0,7,1445.87,0
C-00080,6,Month-to-month,Standard,65.54,393.24,Mailed check,0,2.09,0,0,60,102.39,1
C-00081,52,Two-year,Basic,32.77,1704.04,Bank transfer,3,4.44,0,0,8,1588.98,0
C-00082,36,One-year,Basic,22.74,818.64,Bank transfer,3,1.7,0,0,2,555.29,0
C-00083,6,Month-to-month,Premium,81.52,489.12,Electronic check,5,5.98,1,2,43,135.39,1
C-00084,3,Month-to-month,Basic,22.06,66.18,Bank transfer,10,0.45,0,2,17,27.38,1
C-00085,8,Month-to-month,Basic,32.33,258.64,Credit card,4,0.49,0,1,24,66.11,1
C-00086,11,Month-to-month,Standard,47.89,526.79,Bank transfer,3,4.64,0,0,27,114.09,1
C-00087,10,One-year,Standard,66.07,660.7,Electronic check,14,14.26,0,2,0,1536.25,0
C-00088,23,One-year,Basic,39.86,916.78,Bank transfer,0,4.4,1,0,4,928.49,0
C-00089,37,Two-year,Standard,54.16,2003.92,Electronic check,11,12.33,0,1,7,3463.78,0
C-00090,1,Month-to-month,Basic,29.07,29.07,Credit card,24,0.47,0,3,14,38.6,1
C-00091,2,Month-to-month,Basic,34.23,68.46,Credit card,0,1.61,0,0,4,763.81,0
C-00092,32,One-year,Basic,38.74,1239.68,Credit card,7,1.45,0,0,21,1474.32,0
C-00093,25,One-year,Premium,115.23,2880.75,Bank transfer,0,39.85,1,1,3,3719.41,0
C-00094,37,One-year,Basic,21.15,782.55,Electronic check,0,3.24,0,0,0,696.22,0
C-00095,10,One-year,Basic,23.38,233.8,Electronic check,11,1.18,1,1,3,714.8,0
C-00096,1,Month-to-month,Standard,63.86,63.86,Bank transfer,0,13.93,0,1,15,626.66,0
C-00097,30,One-year,Premium,106.0,3180.0,Bank transfer,0,33.96,1,0,0,4088.1,0
C-00098,23,Month-to-month,Basic,22.66,521.18,Electronic check,2,1.15,0,0,1,347.15,0
C-00099,1,Month-to-month,Standard,57.55,57.55,Credit card,2,12.48,1,0,7,1323.4,0
C-00100,2,Month-to-month,Basic,35.62,71.24,Credit card,3,0.5,0,0,73,70.6,1
C-00101,17,Month-to-month,Standard,50.47,857.99,Mailed check,21,2.1,0,0,3,1053.43,0
C-00102,30,One-year,Standard,66.78,2003.4,Bank transfer,1,8.2,1,0,9,2148.7,0
C-00103,11,Month-to-month,Standard,46.32,509.52,Mailed check,4,10.53,0,0,4,704.0,0
C-00104,35,One-year,Basic,35.64,1247.4,Credit card,2,0.43,0,4,21,93.84,1
C-00105,61,Two-year,Basic,32.32,1971.52,Electronic check,11,8.44,0,1,0,1119.6,0
C-00106,1,Month-to-month,Basic,26.3,26.3,Credit card,4,0.53,0,2,12,78.49,1
C-00107,7,Month-to-month,Basic,34.42,240.94,Credit card,4,2.17,0,0,9,847.21,0
C-00108,14,One-year,Basic,35.65,499.1,Bank transfer,4,2.5,0,0,5,993.85,0
C-00109,3,Month-to-month,Standard,68.35,205.05,Credit card,0,1.11,0,3,17,150.44,1
C-00110,10,Month-to-month,Premium,91.55,915.5,Credit card,1,39.05,1,0,9,1508.89,0
C-00111,6,Month-to-month,Premium,105.87,635.22,Credit card,1,29.39,1,0,2,1378.47,0
C-00112,19,Month-to-month,Premium,102.12,1940.28,Credit card,0,28.72,1,1,7,1785.66,0
C-00113,46,Two-year,Standard,58.13,2673.98,Electronic check,0,6.21,0,0,0,2948.84,0
C-00114,29,Two-year,Standard,67.26,1950.54,Bank transfer,3,3.53,1,0,0,4123.76,0
C-00115,17,One-year,Basic,20.06,341.02,Credit card,1,1.57,0,3,2,569.81,0
C-00116,32,Two-year,Standard,52.05,1665.6,Credit card,1,10.69,0,0,8,2503.64,0
C-00117,32,Two-year,Standard,58.46,1870.72,Credit card,1,6.91,0,1,4,3569.45,0
C-00118,17,Month-to-month,Standard,49.46,840.82,Bank transfer,2,10.75,1,2,3,1040.99,0
C-00119,35,Two-year,Standard,67.7,2369.5,Credit card,0,7.85,0,0,13,2304.05,0
C-00120,37,One-year,Basic,32.95,1219.15,Electronic check,5,2.5,1,2,4,980.5,0
C-00121,51,Two-year,Basic,29.56,1507.56,Credit card,1,1.24,0,0,5,1666.2,0
C-00122,49,Two-year,Premium,111.66,5471.34,Credit card,4,27.02,0,2,25,8103.72,0
C-00123,27,Month-to-month,Basic,29.02,783.54,Mailed check,7,1.46,0,0,4,554.64,0
C-00124,1,Month-to-month,Standard,58.97,58.97,Electronic check,20,0.71,0,5,27,29.48,1
C-00125,12,Month-to-month,Premium,75.12,901.44,Credit card,0,22.59,1,1,0,531.45,0
C-00126,19,Month-to-month,Standard,54.14,1028.66,Electronic check,20,22.69,1,1,10,751.37,0
C-00127,62,Two-year,Standard,48.47,3005.14,Bank transfer,3,3.76,0,1,17,1866.97,0
C-00128,42,Two-year,Basic,33.79,1419.18,Electronic check,5,2.14,0,0,3,1901.67,0
C-00129,2,Month-to-month,Basic,29.58,59.16,Bank transfer,1,0.73,0,1,96,103.42,1
C-00130,12,One-year,Premium,88.58,1062.96,Electronic check,2,77.48,1,0,4,3207.05,0
C-00131,4,Month-to-month,Standard,56.7,226.8,Mailed check,14,1.6,0,1,51,154.54,1
C-00132,5,Month-to-month,Standard,50.24,251.2,Credit card,7,1.74,0,2,94,127.07,1
C-00133,7,Month-to-month,Basic,38.5,269.5,Bank transfer,7,0.19,0,3,35,88.18,1
C-00134,5,Month-to-month,Basic,21.08,105.4,Bank transfer,11,1.87,0,2,27,29.33,1
C-00135,48,Two-year,Premium,113.94,5469.12,Credit card,2,15.9,1,0,0,6367.53,0
C-00136,6,Month-to-month,Basic,30.23,181.38,Credit card,13,0.33,1,3,41,51.63,1
C-00137,17,One-year,Standard,60.47,1027.99,Credit card,0,2.98,0,0,4,2214.47,0
C-00138,20,One-year,Basic,26.05,521.0,Bank transfer,10,1.35,0,3,28,61.12,1
C-00139,1,Month-to-month,Standard,69.17,69.17,Bank transfer,0,6.58,1,0,50,138.35,1
C-00140,45,Two-year,Premium,87.68,3945.6,Bank transfer,0,37.45,1,0,1,3557.15,0
C-00141,28,Two-year,Standard,59.72,1672.16,Credit card,3,3.44,1,1,2,2823.95,0
C-00142,15,Month-to-month,Basic,39.87,598.05,Bank transfer,0,2.73,0,0,11,578.43,0
C-00143,1,Month-to-month,Standard,67.03,67.03,Mailed check,0,3.31,1,0,0,512.75,0
C-00144,1,Month-to-month,Standard,58.41,58.41,Bank transfer,1,3.47,0,2,42,65.0,1
C-00145,13,Month-to-month,Standard,69.76,906.88,Bank transfer,8,1.96,0,2,37,155.87,1
C-00146,3,Month-to-month,Premium,106.56,319.68,Electronic check,2,28.65,1,0,3,253.28,0
C-00147,24,One-year,Standard,50.22,1205.28,Electronic check,19,12.44,1,3,2,2461.29,0
C-00148,24,One-year,Premium,93.25,2238.0,Bank transfer,0,24.43,1,1,0,2421.76,0
C-00149,3,Month-to-month,Standard,53.36,160.08,Mailed check,3,0.69,0,2,37,143.35,1
C-00150,3,Month-to-month,Basic,26.88,80.64,Bank transfer,1,1.21,0,1,32,13.44,1
C-00151,33,Two-year,Basic,35.21,1161.93,Mailed check,6,2.11,0,1,11,1345.12,0
C-00152,1,Month-to-month,Basic,31.69,31.69,Credit card,7,0.43,0,0,20,90.28,1
C-00153,1,Month-to-month,Premium,76.71,76.71,Credit card,9,3.72,1,2,7,179.03,1
C-00154,14,Month-to-month,Standard,66.94,937.16,Credit card,0,8.38,0,0,112,112.7,1
C-00155,42,Two-year,Standard,52.42,2201.64,Electronic check,6,18.89,0,0,2,3558.1,0
C-00156,7,Month-to-month,Basic,39.94,279.58,Bank transfer,5,0.93,1,2,39,34.74,1
C-00157,27,One-year,Basic,39.08,1055.16,Credit card,3,1.44,0,1,2,1514.84,0
C-00158,2,One-year,Standard,68.51,137.02,Credit card,1,1.99,0,0,29,1819.95,0
C-00159,2,Month-to-month,Standard,65.28,130.56,Mailed check,0,14.28,0,0,5,843.01,0
C-00160,27,One-year,Basic,24.41,659.07,Electronic check,5,2.42,1,0,2,348.27,0
C-00161,1,Month-to-month,Standard,58.32,58.32,Bank transfer,4,7.21,0,1,11,411.76,0
C-00162,24,One-year,Basic,24.49,587.76,Bank transfer,0,3.53,0,0,0,762.09,0
C-00163,16,One-year,Basic,25.19,403.04,Bank transfer,0,3.08,0,0,3,771.04,0
C-00164,17,One-year,Standard,60.27,1024.59,Bank transfer,0,10.03,1,0,10,1441.41,0
C-00165,2,Month-to-month,Basic,20.82,41.64,Mailed check,14,0.97,0,1,109,38.24,1
C-00166,53,Two-year,Premium,118.63,6287.39,Credit card,0,25.17,1,0,24,5517.88,0
C-00167,24,Month-to-month,Basic,38.37,920.88,Bank transfer,0,2.83,0,0,2,582.38,0
C-00168,2,Month-to-month,Basic,27.62,55.24,Credit card,4,0.59,0,2,42,33.12,1
C-00169,7,Month-to-month,Basic,30.31,212.17,Bank transfer,1,0.69,0,4,17,73.42,1
C-00170,20,One-year,Standard,56.65,1133.0,Bank transfer,32,2.46,1,3,40,169.75,1
C-00171,26,One-year,Standard,67.05,1743.3,Bank transfer,0,20.12,0,1,5,2212.69,0
C-00172,5,Month-to-month,Standard,62.22,311.1,Credit card,0,12.42,0,0,2,1282.66,0
C-00173,41,One-year,Basic,25.56,1047.96,Bank transfer,0,1.43,0,2,5,921.39,0
C-00174,2,Month-to-month,Basic,28.94,57.88,Credit card,0,2.1,1,0,12,480.47,0
C-00175,3,One-year,Standard,55.72,167.16,Credit card,0,5.41,0,0,2,1385.11,0
C-00176,15,Month-to-month,Premium,118.17,1772.55,Credit card,15,18.6,1,2,49,59.08,1
C-00177,21,One-year,Premium,82.89,1740.69,Electronic check,3,55.23,1,2,1,2120.04,0
C-00178,14,Month-to-month,Basic,21.79,305.06,Bank transfer,1,1.14,0,1,7,32.59,1
C-00179,42,Two-year,Standard,67.02,2814.84,Bank transfer,0,22.97,1,0,3,2511.91,0
C-00180,19,Month-to-month,Premium,115.35,2191.65,Electronic check,0,26.47,1,3,0,2238.7,0
C-00181,1,Month-to-month,Basic,37.43,37.43,Electronic check,12,2.95,0,0,2,630.37,0
C-00182,7,Month-to-month,Premium,97.99,685.93,Bank transfer,12,22.47,0,1,28,229.44,1
C-00183,50,Two-year,Basic,33.19,1659.5,Bank transfer,0,2.01,0,0,10,1219.82,0
C-00184,53,Two-year,Premium,100.35,5318.55,Bank transfer,3,25.42,1,0,3,3287.08,0
C-00185,1,Month-to-month,Standard,46.74,46.74,Bank transfer,3,5.38,0,3,14,118.47,1
C-00186,24,One-year,Premium,101.81,2443.44,Bank transfer,2,33.89,1,0,6,3726.87,0
C-00187,36,Two-year,Standard,45.34,1632.24,Electronic check,6,5.74,0,0,2,1794.91,0
C-00188,12,One-year,Basic,26.5,318.0,Mailed check,1,0.67,0,0,15,719.34,0
C-00189,20,One-year,Premium,116.95,2339.0,Credit card,6,22.47,1,0,0,3764.87,0
C-00190,17,Month-to-month,Basic,26.08,443.36,Credit card,8,0.32,0,1,22,64.26,1
C-00191,22,Month-to-month,Basic,38.8,853.6,Bank transfer,0,1.23,0,0,0,289.45,0
C-00192,32,Two-year,Standard,51.25,1640.0,Credit card,3,5.34,0,2,1,2964.59,0
C-00193,46,Two-year,Standard,52.86,2431.56,Credit card,1,6.42,0,0,5,1834.96,0
C-00194,14,One-year,Premium,103.28,1445.92,Mailed check,11,36.97,1,1,10,1939.05,0
C-00195,24,Month-to-month,Basic,35.23,845.52,Credit card,3,1.36,0,4,45,58.8,1
C-00196,6,Month-to-month,Standard,57.53,345.18,Mailed check,7,12.25,1,0,0,886.02,0
C-00197,23,One-year,Standard,67.05,1542.15,Electronic check,0,13.19,1,0,4,2026.6,0
C-00198,32,Two-year,Basic,20.8,665.6,Electronic check,4,2.8,0,0,0,1031.01,0
C-00199,53,Two-year,Basic,38.44,2037.32,Credit card,0,0.58,0,0,4,2497.05,0
C-00200,8,One-year,Basic,23.93,191.44,Credit card,7,0.65,0,3,15,30.4,1
C-00201,21,One-year,Basic,37.68,791.28,Bank transfer,1,0.82,1,0,4,1451.29,0
C-00202,51,Month-to-month,Premium,93.04,4745.04,Credit card,4,31.64,1,4,0,849.9,0
C-00203,7,Month-to-month,Standard,65.82,460.74,Credit card,2,1.2,0,4,58,66.5,1
C-00204,41,Two-year,Standard,61.79,2533.39,Credit card,4,8.1,1,2,5,2384.91,0
C-00205,28,One-year,Premium,82.92,2321.76,Credit card,0,32.26,1,0,4,1207.18,0
C-00206,1,Month-to-month,Basic,38.36,38.36,Credit card,3,0.22,0,1,126,90.46,1
C-00207,2,Month-to-month,Premium,86.05,172.1,Electronic check,4,39.68,1,0,7,2178.55,0
C-00208,23,One-year,Standard,51.1,1175.3,Credit card,5,4.68,0,3,64,139.27,1
C-00209,16,Month-to-month,Premium,111.64,1786.24,Credit card,5,5.0,1,0,37,85.56,1
C-00210,3,Month-to-month,Basic,22.12,66.36,Bank transfer,1,2.85,0,1,17,700.74,0
C-00211,18,One-year,Premium,84.99,1529.82,Mailed check,3,20.5,1,0,7,2625.59,0
C-00212,30,One-year,Basic,30.07,902.1,Credit card,6,2.17,1,0,14,1273.74,0
C-00213,24,One-year,Basic,36.61,878.64,Credit card,3,2.02,0,0,15,1057.46,0
C-00214,2,Month-to-month,Standard,48.69,97.38,Bank transfer,0,8.96,1,0,1,838.82,0
C-00215,19,One-year,Basic,30.95,588.05,Mailed check,1,1.44,0,0,30,835.43,0
C-00216,14,Month-to-month,Standard,62.78,878.92,Electronic check,13,0.91,1,1,48,229.31,1
C-00217,10,Month-to-month,Standard,66.51,665.1,Bank transfer,6,7.37,0,0,0,1751.01,0
C-00218,27,One-year,Standard,68.39,1846.53,Credit card,0,7.13,1,1,1,2019.79,0
C-00219,19,One-year,Basic,35.69,678.11,Bank transfer,3,1.39,0,0,5,978.99,0
C-00220,55,Two-year,Basic,33.06,1818.3,Credit card,0,3.08,0,1,8,1833.18,0
C-00221,33,One-year,Basic,28.67,946.11,Electronic check,25,0.44,0,3,38,14.6,1
C-00222,26,One-year,Standard,47.8,1242.8,Electronic check,8,8.14,1,0,9,602.8,0
C-00223,6,Month-to-month,Basic,34.19,205.14,Mailed check,4,0.99,0,2,98,40.05,1
C-00224,10,Month-to-month,Basic,39.85,398.5,Credit card,0,3.17,0,0,7,807.12,0
C-00225,3,Month-to-month,Basic,34.74,104.22,Credit card,2,3.7,0,0,2,846.56,0
C-00226,2,Month-to-month,Basic,20.33,40.66,Bank transfer,23,0.38,0,3,20,20.42,1
C-00227,54,Two-year,Standard,57.41,3100.14,Electronic check,15,14.45,0,4,2,3638.82,0
C-00228,9,Month-to-month,Premium,102.66,923.94,Electronic check,31,7.68,0,2,59,161.28,1
C-00229,40,Two-year,Basic,33.79,1351.6,Credit card,1,1.75,0,2,14,1766.09,0
C-00230,23,One-year,Standard,62.99,1448.77,Credit card,5,2.4,0,2,29,98.79,1
C-00231,34,One-year,Standard,58.95,2004.3,Bank transfer,1,6.39,0,0,0,1713.42,0
C-00232,18,One-year,Standard,50.58,910.44,Credit card,3,7.26,0,0,2,2248.31,0
C-00233,21,One-year,Standard,68.56,1439.76,Mailed check,20,2.52,1,1,42,107.72,1
C-00234,5,Month-to-month,Standard,62.42,312.1,Bank transfer,7,1.82,0,0,35,77.83,1
C-00235,10,Month-to-month,Standard,50.92,509.2,Electronic check,0,15.09,1,0,17,1120.25,0
C-00236,5,One-year,Basic,26.45,132.25,Bank transfer,3,0.32,1,2,26,73.51,1
C-00237,4,Month-to-month,Standard,68.05,272.2,Electronic check,6,4.27,0,2,40,54.01,1
C-00238,33,Month-to-month,Standard,67.19,2217.27,Credit card,1,9.96,1,1,1,1357.56,0
C-00239,23,One-year,Basic,28.1,646.3,Electronic check,3,2.07,0,0,3,963.65,0
C-00240,7,Month-to-month,Basic,20.77,145.39,Credit card,3,2.11,0,0,19,591.34,0
C-00241,50,Two-year,Premium,77.18,3859.0,Bank transfer,0,21.06,1,0,0,3394.1,0
C-00242,50,Two-year,Standard,52.1,2605.0,Credit card,1,21.14,0,0,9,3202.52,0
C-00243,52,Two-year,Standard,60.73,3157.96,Bank transfer,0,14.25,1,2,1,3013.02,0
C-00244,22,Month-to-month,Premium,101.29,2228.38,Credit card,0,24.76,1,1,4,1641.27,0
C-00245,12,Month-to-month,Standard,60.85,730.2,Credit card,3,2.45,1,0,62,85.55,1
C-00246,47,Two-year,Standard,62.93,2957.71,Mailed check,1,8.4,0,1,8,3333.09,0
C-00247,11,Month-to-month,Standard,45.48,500.28,Credit card,0,11.59,0,0,10,499.92,0
C-00248,50,Two-year,Premium,79.73,3986.5,Electronic check,4,51.93,1,0,2,2956.03,0
C-00249,52,Two-year,Standard,53.99,2807.48,Mailed check,0,3.96,1,4,2,2918.15,0
C-00250,35,Two-year,Standard,48.87,1710.45,Credit card,0,13.41,0,1,10,3248.57,0
C-00251,23,Month-to-month,Basic,21.51,494.73,Electronic check,17,1.07,0,4,76,18.61,1
C-00252,2,Month-to-month,Premium,103.84,207.68,Credit card,5,2.06,1,4,37,146.84,1
C-00253,28,Two-year,Standard,65.38,1830.64,Credit card,0,8.1,1,0,15,3329.79,0
C-00254,45,Month-to-month,Basic,35.05,1577.25,Bank transfer,0,1.18,0,0,12,514.69,0
C-00255,6,Month-to-month,Premium,111.77,670.62,Mailed check,29,8.13,0,2,24,55.88,1
C-00256,36,One-year,Standard,61.65,2219.4,Credit card,0,7.28,0,1,9,1427.87,0
C-00257,36,Two-year,Basic,34.71,1249.56,Bank transfer,1,1.89,0,1,0,1836.03,0
C-00258,13,One-year,Standard,51.79,673.27,Bank transfer,1,7.05,0,1,13,1437.65,0
C-00259,19,One-year,Standard,69.83,1326.77,Mailed check,19,7.0,0,2,43,160.16,1
C-00260,9,Month-to-month,Premium,83.24,749.16,Credit card,23,6.04,0,3,57,75.64,1
C-00261,25,One-year,Basic,24.29,607.25,Electronic check,2,2.26,1,1,2,794.0,0
C-00262,33,Two-year,Premium,88.0,2904.0,Electronic check,3,26.58,1,0,4,2380.34,0
C-00263,1,Month-to-month,Standard,69.38,69.38,Electronic check,11,3.02,0,1,59,182.13,1
C-00264,28,One-year,Basic,39.77,1113.56,Mailed check,34,1.77,0,1,2,1628.28,0
C-00265,45,Two-year,Premium,110.77,4984.65,Electronic check,13,57.42,1,1,2,3773.73,0
C-00266,21,One-year,Standard,60.73,1275.33,Credit card,2,4.3,1,0,7,1544.04,0
C-00267,27,One-year,Basic,30.4,820.8,Bank transfer,2,0.85,0,0,6,551.48,0
C-00268,35,One-year,Standard,69.27,2424.45,Bank transfer,0,3.05,1,0,4,2128.97,0
C-00269,15,Month-to-month,Premium,106.3,1594.5,Credit card,0,2.01,1,3,54,225.6,1
C-00270,13,Month-to-month,Basic,38.89,505.57,Bank transfer,0,2.82,0,3,3,387.82,0
C-00271,44,Two-year,Basic,26.33,1158.52,Bank transfer,1,1.34,0,4,31,40.47,1
C-00272,26,Two-year,Basic,26.68,693.68,Bank transfer,1,3.68,0,0,0,1567.88,0
C-00273,31,Two-year,Basic,37.09,1149.79,Mailed check,21,1.19,0,2,5,1986.68,0
C-00274,46,Two-year,Standard,48.75,2242.5,Credit card,2,14.12,0,0,1,2435.34,0
C-00275,23,One-year,Standard,68.65,1578.95,Mailed check,10,9.34,1,2,8,2662.31,0
C-00276,27,One-year,Basic,30.15,814.05,Bank transfer,0,2.19,0,0,8,1339.98,0
C-00277,37,One-year,Basic,38.53,1425.61,Bank transfer,3,1.18,1,3,38,81.32,1
C-00278,29,One-year,Basic,26.74,775.46,Electronic check,3,1.38,0,0,7,867.91,0
C-00279,34,One-year,Premium,107.22,3645.48,Bank transfer,1,89.45,1,2,14,2974.0,0
